"TreeDepth","Offset","Name","Size"
0,"0x868fd07926d0","\Windows\debug\PASSWD.LOG",216
0,"0x868fd0792860","\Windows\System32\gmsaclient.dll",216
0,"0x868fd07929f0","\Windows\System32\MicrosoftAccountCloudAP.dll",216
0,"0x868fd0792b80","\Windows\System32\msv1_0.dll",216
0,"0x868fd0792ea0","\Windows\System32\dnsapi.dll",216
0,"0x868fd07931c0","\Windows\System32\joinutil.dll",216
0,"0x868fd0793350","\Windows\System32\mswsock.dll",216
0,"0x868fd07934e0","\$Directory",216
0,"0x868fd0793800","\Windows\System32\winevt\Logs\Microsoft-Windows-WindowsUpdateClient%4Operational.evtx",216
0,"0x868fd0793990","\Windows\WinSxS\amd64_dual_pci.inf_31bf3856ad364e35_10.0.17763.1_none_331c3561379fe082\pci.sys4e35_10.0.17763.1_none_331c3561379fe082\pci.sys",216
0,"0x868fd0793cb0","\Windows\System32\schannel.dll",216
0,"0x868fd0793e40","\lsass",216
0,"0x868fd0794160","\Windows\System32\wdigest.dll",216
0,"0x868fd07942f0","\Windows\servicing\InboxFodMetadataCache\metadata\Language.Fonts.Orya~und-Orya~1.0.mum",216
0,"0x868fd0794480","\Windows\System32\C_28591.NLS",216
0,"0x868fd0794610","\Windows\System32\sspisrv.dll",216
0,"0x868fd07947a0","\Windows\servicing\InboxFodMetadataCache\metadata\Language.Fonts.Mlym~und-Mlym~1.0.mum",216
0,"0x868fd0794930","\Windows\WinSxS\amd64_dual_nvdimm.inf_31bf3856ad364e35_10.0.17763.1432_none_b004bd1edfc17eae\nvdimm.sys",216
0,"0x868fd0794ac0","\Windows\System32\efslsaext.dll",216
0,"0x868fd0794de0","\Windows\System32\dpapisrv.dll",216
0,"0x868fd0f220e0","\Windows\System32\profext.dll",216
0,"0x868fd0f22270","\Windows\System32\scesrv.dll",216
0,"0x868fd0f22720","\Windows\System32\FirewallAPI.dll",216
0,"0x868fd0f228b0","\Windows\System32",216
0,"0x868fd0f22a40","\ntsvcs",216
0,"0x868fd0f22bd0","\Windows\System32\fwbase.dll",216
0,"0x868fd0f23080","\Windows\System32\authz.dll",216
0,"0x868fd0f23210","\Windows\System32\WUDFPlatform.dll",216
0,"0x868fd0f23530","\scerpc",216
0,"0x868fd0f239e0","\Windows\System32\svchost.exe",216
0,"0x868fd0f23b70","\Windows\System32\ntmarta.dll",216
0,"0x868fd0f23e90","\Sessions\0\AppContainerNamedObjects\S-1-15-2-95739096-486727260-2033287795-3853587803-1685597119-444378811-2746676523",216
0,"0x868fd0f241b0","\Windows\System32\kdcpw.dll",216
0,"0x868fd0f244d0","\Windows\System32\fontdrvhost.exe",216
0,"0x868fd0f24660","\ntsvcs",216
