"TreeDepth","Offset","Base","Size","Name","Path","File output"
0,"0x868fcd448370","0xf801343d0000","0x10000","WppRecorder.sys","\SystemRoot\system32\drivers\WppRecorder.sys","Disabled"
0,"0x868fcd448520","0xf801343f0000","0xf000","SleepStudyHelper.sys","\SystemRoot\system32\drivers\SleepStudyHelper.sys","Disabled"
0,"0x868fcd4486d0","0xf80133e00000","0x24000","acpiex.sys","\SystemRoot\System32\Drivers\acpiex.sys","Disabled"
0,"0x868fcd448870","0xf80133e30000","0x49000","mssecflt.sys","\SystemRoot\system32\drivers\mssecflt.sys","Disabled"
0,"0x868fcd448a20","0xf80133e80000","0x1a000","SgrmAgent.sys","\SystemRoot\system32\drivers\SgrmAgent.sys","Disabled"
0,"0x868fcd448bd0","0xf801347a0000","0xc8000","ACPI.sys","\SystemRoot\System32\drivers\ACPI.sys","Disabled"
0,"0x868fcd448d90","0xf80134870000","0xc000","WMILIB.SYS","\SystemRoot\System32\drivers\WMILIB.SYS","Disabled"
0,"0x868fcd449010","0xf80134880000","0x10000","WdBoot.sys","\SystemRoot\system32\drivers\wd\WdBoot.sys","Disabled"
0,"0x868fcd4491b0","0xf801348a0000","0x43000","intelpep.sys","\SystemRoot\System32\drivers\intelpep.sys","Disabled"
0,"0x868fcd449360","0xf801348f0000","0x16000","WindowsTrustedRT.sys","\SystemRoot\system32\drivers\WindowsTrustedRT.sys","Disabled"
0,"0x868fcd449510","0xf80134910000","0xb000","WindowsTrustedRTProxy.sys","\SystemRoot\System32\drivers\WindowsTrustedRTProxy.sys","Disabled"
0,"0x868fcd4496d0","0xf80134920000","0x14000","pcw.sys","\SystemRoot\System32\drivers\pcw.sys","Disabled"
0,"0x868fcd449870","0xf80134940000","0xb000","msisadrv.sys","\SystemRoot\System32\drivers\msisadrv.sys","Disabled"
0,"0x868fcd449a10","0xf80134950000","0x6b000","pci.sys","\SystemRoot\System32\drivers\pci.sys","Disabled"
0,"0x868fcd449bb0","0xf801349c0000","0x12000","vdrvroot.sys","\SystemRoot\System32\drivers\vdrvroot.sys","Disabled"
0,"0x868fcd449d50","0xf80134400000","0x2e000","pdc.sys","\SystemRoot\system32\drivers\pdc.sys","Disabled"
0,"0x868fcd44a010","0xf80134430000","0x19000","CEA.sys","\SystemRoot\system32\drivers\CEA.sys","Disabled"
0,"0x868fcd44a1b0","0xf80134450000","0x2f000","partmgr.sys","\SystemRoot\System32\drivers\partmgr.sys","Disabled"
0,"0x868fcd44a350","0xf801344b0000","0xb1000","spaceport.sys","\SystemRoot\System32\drivers\spaceport.sys","Disabled"
0,"0x868fcd44a510","0xf80134590000","0x63000","volmgrx.sys","\SystemRoot\System32\drivers\volmgrx.sys","Disabled"
